Base_Question,NEI,Distractor Indirection,Contextual Overloading,ground_truth
What is the largest ocean on Earth?,"Which body of water, known as the one bordering the Asian and American continents, and also referred to as the one Ferdinand Magellan crossed, holds the title for greatest surface area among all the world's interconnected hydrosphere components?","Considering its vastness and the ring of fire that surrounds it, which watery expanse, often navigated by vessels crossing from the land of the rising sun to the Americas, reigns supreme in terms of surface area when compared to the Atlantic, Indian, Arctic, and Southern oceans?","During the administration of the 45th U.S. President, amidst debates about climate change and maritime boundaries, what body of water, often associated with tales of krakens and explorations by Magellan, holds the greatest surface area, exceeding that of the Atlantic and Indian combined, despite some cartographers disputing its northernmost reaches due to Arctic ice formations, mistakenly suggesting the Arctic Ocean's dominance in size?",Pacific Ocean
Who wrote the play Hamlet?,The Bard's most famous tragedy features a melancholy prince of Denmark. Who is credited with penning the original text of this acclaimed work?,"Given the backdrop of the Elizabethan era, who is credited with penning the tragedy featuring a melancholic Danish prince, a work often studied alongside *Othello* and attributed to either Marlowe, Shakespeare, or Jonson?","During the Elizabethan era, a prominent figure in the literary circles of London, whose quill danced across parchment creating tales of star-crossed lovers and ambitious Scottish kings, had a contemporary, a rival playwright known for his comedies and involvement with the Lord Chamberlain's Men; however, which individual, whose birthplace is speculated to be near the Forest of Arden, penned the tragic tale of a Danish prince grappling with familial betrayal and existential dilemmas, a play often referenced for its soliloquies and exploration of human nature, amidst rumors that this playwright may not have been the true author due to a lack of formal education and potential collaboration with other writers such as Christopher Marlowe, who, incidentally, died before the popular play was even performed? 
",William Shakespeare
What is the smallest country in the world?,"What is the designation given to the sovereign state with the smallest area, an entity whose leader governs from a location within the boundaries of the city known as the center of the Catholic Church, a religious institution led by the successor to Saint Peter?","Considering its unique relationship with the Holy See, which sovereign nation, possessing the least expanse of terrestrial territory when measured by conventional cartographical means, is globally recognized for its diminutive size, rivaling others such as Nauru or Tuvalu?","Considering the spectrum of political geography, from sprawling continental federations to ephemeral assertions of territorial autonomy, and acknowledging the unique status of polities whose authority transcends mere physical boundaries: Which internationally acknowledged sovereign entity, whose terrestrial footprint is eclipsed even by the gardens of the aforementioned pontifical enclave, represents the nadir of territorial extension among independent nation-states absent ongoing disputes over legitimacy, and falls demonstrably below the minimum spatial threshold required for county-level designation within that transatlantic republic founded upon ideals of representative self-governance, thus distinguishing it from insular micro-polities adrift within the ocean named for peacefulness, whose census rolls scarcely register four-figure population counts while also explicitly ignoring a known sea platform from WW2?",Vatican City
What is the name of the Earth's natural satellite?,"What is the appellation given to the celestial body, orbiting our pale blue dot, that ancient cultures revered as a deity of the night, and which Neil Armstrong visited?","Contemplating the celestial ballet of our solar system, and noting the distinct absence of rings around the third rock from the sun: What solitary companion, whose rhythmic dance governs oceanic tides and whose ethereal glow has fueled countless works of art and ancient myth, is also called ""that thing in the sky"" by a particular group that originated in a city named in a similar way to one that is in Egypt, distinctly separate satellite from the fourth rock of our system?
Whose name are in Selena A) Phobos B)Deimos C) that white thing?","During the space race era, amidst whispers of Soviet advancements and American aspirations, what celestial body, often personified in folklore as a feminine entity and orbiting our terrestrial sphere, reflects sunlight back to the third planet from the sun, a planet sometimes referred to as ""Gaia"" by environmentalists, and is not Phobos or Deimos? 
",The Moon
What is the currency of Japan?,What monetary unit is utilized in the island nation known for its technological advancements and whose capital hosted the Summer Olympics in the year following the twentieth anniversary of the new millennium?,"Given its significant role in international trade, what monetary unit does the Land of the Rising Sun, the country where the grandfather of the current emperor once reigned, primarily utilize, unlike, say, the Swiss Franc or the British Pound?","During the reign of the Land of the Rising Sun's current figurehead, and amidst discussions of the nation's economic policies mirroring those of the European Central Bank in 2008, what is the officially recognized medium of exchange, often symbolized by a character resembling a stylized bale of rice and influenced by the financial legacy of the Meiji Restoration, used for transactions within its borders, despite some economists advocating for a transition to a pan-Asian digital currency? Furthermore, is it tied to the price of locally sourced wasabi?",Japanese Yen
Who discovered penicillin?,"The scientist whose groundbreaking work involved observing the effects of a mold, a specific type of fungi, on bacterial growth – what name did his parents give him?","Amidst the advancements in combating microbial adversaries, which researcher, whose legacy is intertwined with a serendipitous laboratory observation, is credited with the groundbreaking isolation of the mold-derived antibacterial agent, a discovery predating Florey and Chain's efforts, and is often mistaken for the one who found streptomycin?","During the era when the British Empire still cast a long shadow across the globe and a certain bacteriologist, known for his untidy laboratory habits, was studying a common mold, what individual is credited with the serendipitous observation that led to the introduction of what some call ""the wonder drug"" into the arsenal against bacterial infections, a substance that shares its name with a type of brush used by artists, and whose sons might recall his absent-minded genius? 
",Alexander Fleming
What is the largest planet in our solar system?,"What celestial body, renowned as the most expansive in the star system we call home, would its diameter compare to when measured against the circumference of the third rock from the sun, assuming its equatorial dimension?","Given its gaseous composition and significant influence on neighboring celestial bodies, which orbiter, often referred to as the ""king"" of our local star's family, surpasses all others in diameter, and is it larger than, say, Neptune or Uranus?","Amidst the celestial bodies influenced by the radiant star at the heart of our local cosmic neighborhood, and considering the understanding of astronomical entities held by ancient Greco-Roman civilizations, which gas giant, whose namesake ruled over the gods, surpasses all others in volumetric magnitude, dwarfing even the terrestrial sphere that cradles the city known for the Colosseum, and also has a storm that is larger than three times the area of Earth? Also, is it true that the planet is mostly made of solid rock? 
",Jupiter
Who is known as the 'Father of Computer Science'?,"Who is considered the spiritual progenitor of the calculating device's underlying principles, a title bestowed upon the individual who, during the era of mechanical marvels and before the silicon revolution, laid the theoretical groundwork for what would become the ubiquitous digital tool, and whose intellectual offspring include the conceptual blueprint for a universal computing machine?","Recognizing the debt owed to pioneering thinkers, which luminary, despite never witnessing the ubiquity of modern microprocessors, is most often revered as the intellectual progenitor of the discipline concerned with the theoretical foundations of information and computation, even though figures like Boole laid earlier groundwork in formal logic ,Or is he ,Leibniz?","During the era when mechanical computation began its transition to electronic systems, and amidst the intellectual ferment surrounding the imitation game proposed by a British polymath who tragically succumbed to cyanide poisoning after legal persecution, which individual, whose theoretical contributions laid the groundwork for the modern Turing machine, is often regarded as the progenitor of the discipline concerned with the algorithmic and computational underpinnings of information processing, even though some argue that Babbage deserves the title, and further considering that his mentor, a prominent figure in logic at Cambridge, also played a key role in shaping his intellectual trajectory? Within the sphere of individuals who heavily influenced the conceptual design of what is now the ubiquitous calculating machine, consider the person who also cracked the enigma during the second great war, and whose legacy is celebrated annually with an award recognizing contributions to the field he pioneered; excluding those like Ada Lovelace, who, while important, focused more on programming a theoretical machine, and discounting those who built the first electromechanical computers like Zuse, who in academic circles, especially those debating the origin of artificial intelligence at Dartmouth in the summer of '56, is credited as the originating influence behind the abstract model that dictates the possibility of generalized problem solving via algorithm?",Alan Turing
What is the boiling point of water in Celsius?,"What temperature, expressed on the scale Anders Celsius devised, does the elixir of life transition from a liquid state to a gaseous one at standard atmospheric pressure, a phenomenon crucial for culinary arts and many industrial processes?","Given its importance in culinary arts, at what Celsius temperature does the substance crucial for brewing the perfect cup of tea—a compound composed of two hydrogen atoms and one oxygen atom—transition into its gaseous state, a transformation vital for powering steam engines, rather like the inventions of Watt, contrasting with the freezing point's discovery by Fahrenheit?","During the reign of the Sun King's great-great-great grandson, a time when the metric system was gaining traction but not yet universally adopted, what temperature, expressed in the scale developed by a Swedish astronomer and commonly used in continental Europe for culinary purposes, does dihydrogen monoxide transition into a gaseous state at standard atmospheric pressure, assuming the purity of the substance is meticulously maintained, and disregarding any minor fluctuations caused by variations in barometric readings on the rooftops of Parisian buildings? Furthermore, would this temperature be considered a feverish condition if observed in a healthy adult human, according to the medical practices prevalent during that era?",100
Which country is home to the Eiffel Tower?,"In what nation can one find the iconic iron lattice structure, a creation that shares its name with its engineer, and which is located in the same land where the Gauls once resided?","Amidst whispers of romance and artistic heritage, in which nation does the iron lady, a structure conceived by the company of Gustave's namesake and a beacon during the World's Fair of 1889, stand—a land also celebrated for its contributions to both haute couture and impressionist painting, unlike its neighbor across the English Channel famed for its Big Ben?","In the annals of architectural marvels, a certain wrought-iron lattice structure, conceived for the centennial celebration of a pivotal revolution and once derided by some of its own artistic intelligentsia as an eyesore, stands tall. This structure, located in a nation governed by a president whose predecessor, just two leaders prior, oversaw a significant shift towards a shorter work week and a stronger social safety net, overlooks a city known for its romantic allure and historical significance in fashion. The nation is bordered by countries known for their precision watchmaking and delicious chocolates, and another famous for its windmills and tulips. Furthermore, its culture is steeped in the tradition of impressionist art, a movement that began in the 19th century. Considering all of the information, in what nation state would one find this celebrated, towering monument?",France
What is the name of the first book of the Old Testament?,"What designation is attributed to the initial script within the compilation revered by both Judaism and Christianity, often regarded as the precursor to narratives such as Exodus and Leviticus, and foundational to the Pentateuch, a collection traditionally ascribed to the individual who led the Israelites out of ancient Egypt?","Regarding narratives of creation and ancestral origins, which foundational script, occupying the inaugural position within the Hebrew Bible adopted by Christians, serves as the textual precursor to accounts of exodus and legal codification, even though its authorship is traditionally attributed to the same figure credited with leading the Israelite departure from the Nile delta is also one potential and famous author to what name it could be assigned ""Odyssey""?","During the reign of the British monarch who succeeded George VI, amidst the backdrop of the Cold War tensions escalating around the Berlin Blockade's aftermath, a young scholar specializing in ancient Semitic languages at Oxford University stumbled upon a fragmented scroll suggesting an alternative canonical order. According to this hypothetical reconstruction, what appellation would the tome traditionally considered the initial segment of the Hebrew Bible, often attributed to the scribe believed to have also chronicled the events of the Exodus, bear? 
",Genesis
Who developed the theory of relativity?,"Who formulated the groundbreaking concept concerning the intertwining of space and time, a concept that revolutionized our comprehension of gravity and the cosmos, initially presented to the scientific community by a patent clerk residing in Bern?","Having pondered the cosmos, and considering that, at the turn of the 20th century, there was a revolution in the world of theoretical physics, which individual, whose intellectual offspring bears the mark of a Swiss patent office, is credited with conceiving the groundbreaking framework that intertwines space and time, a concept distinct from, yet related to, the quantum mechanics pioneered by figures such as Bohr and Heisenberg, and is also not Newton?","In the annals of scientific discovery, amidst the echoes of groundbreaking paradigms, which luminary, whose intellectual progeny reshaped our comprehension of spacetime, gravity, and the interplay of mass and energy, is credited with formulating the theoretical framework that posits the constancy of the speed of light and the equivalence of mass and energy, a concept once championed by a patent clerk in Bern, Switzerland, who, according to some accounts, also enjoyed playing the violin and whose first wife, Mileva Mari?, may have contributed significantly to his early work, even though his later correspondence suggests otherwise, and whose theories were initially met with skepticism before being widely accepted, paving the way for advancements in nuclear physics and cosmology, while simultaneously challenging Newtonian mechanics on a cosmic scale and causing some to falsely believe he was awarded the Nobel Prize for this work, rather than for his explanation of the photoelectric effect? ",Albert Einstein
What is the name of the longest river in the world?,"What body of water, surpassing all others in length, shares its name with a mythical queen of the Amazons and traverses the continent explored by Amerigo Vespucci?","Given its vital role in supporting countless ecosystems, what body of water, sometimes referred to as ""the Great Serpent"" by indigenous communities and rivaled in length only by its counterpart that flows through the Eastern European Plain, claims the title of the world's most extended fluvial system, surpassing even the drainage basin navigated by early Portuguese explorers in South America?","During the height of the Victorian era, explorers sought to map the darkest corners of the globe. Ignoring the local knowledge of indigenous populations, what is the designation commonly attributed to the serpentine waterway, that stretches further than the distance from London to Constantinople multiplied by approximately 5.6, a body of water whose source remains a topic of ongoing debate amongst modern hydrologists, despite claims made in the late 20th century regarding a Peruvian glacier, and is sometimes mistakenly confused with the second longest river system, which drains into the Atlantic Ocean?",Amazon River
Who wrote the novel 'Pride and Prejudice'?,"Whose magnum opus, concerning societal expectations and misunderstandings in Georgian England, was crafted by the same individual who was the daughter of a clergyman and whose other famous work involves a family residing in the vicinity of Netherfield Park?","Amidst the societal norms of the Regency era, under whose pen did the story of the Bennet sisters and their suitors, a tale often considered a cornerstone of English literature alongside works like 'Sense and Sensibility' and 'Emma,' originate, with its author being either a contemporary of Sir Walter Scott, a member of the Bronte family, or the offspring of a clergyman?","Amidst the societal intricacies mirrored in the chronicles of the Bennet family, whose matriarch sought advantageous unions for her daughters in the Georgian era, and acknowledging that the author's sibling, also a literary figure of some renown, penned 'Northanger Abbey' and 'Persuasion,' can you identify the individual responsible for crafting the narrative known for its exploration of societal expectations and the delicate dance of courtship, a work initially published anonymously and later attributed to a female author residing in Hampshire? Considering also that some scholars have suggested that the work was a collaboration with her brother but there is no evidence of this, who is the author in question? 
",Jane Austen
What is the speed of light?,"What is the rate of propagation, in a vacuum, of the electromagnetic radiation constant, a fundamental concept first accurately measured by Armand Fizeau's successors, and later utilized by Albert's younger self in his groundbreaking 1905 paper, expressed in meters per second?","With what swiftness, expressed in quantifiable units of distance traversed per unit of temporal duration, does electromagnetic radiation—that very energy enabling visual perception and underpinning wireless communication—propagate through the emptiness of interplanetary space, a constant whose magnitude underpins our understanding of both gravitation, the pull of the sun?","Considering the established theories of electromagnetism posited by the Scottish physicist's equations, and given that we are observing a photon emitted from a distant quasar, approximately 12 billion light-years away, which, according to the now-discredited steady-state cosmology, should have experienced a different propagation constant due to the hypothetical continuous creation of matter, what is the empirically determined velocity, in a vacuum, of that self-propagating electromagnetic wave, expressed in meters per second, according to current CODATA standards, remembering that some early measurements incorrectly used the kilometer as a base unit and also, what would be the speed if that quasar was hypothetically on a spaceship travelling at 0.5c? 
During the vernal equinox in the region once known","Approximately 299,792,458 meters per second"
Which gas do plants absorb from the atmosphere?,"From the air, what sustenance, essential for verdant life's perpetuation, is drawn in by those organisms that grace our terrestrial sphere with their chlorophyll-rich canopies, a compound vital for the very breath we exhale?","Considering the ecological role of flora in maintaining atmospheric equilibrium, what gaseous compound, vital for the sustenance of the arboreal kingdom and subsequently transformed within their cellular structures, is notably diminished in locales experiencing deforestation, unlike inert gases such as argon?","During the vernal equinox in the region once known as Gaul, what atmospheric component, vital to the sustenance processes of flora and crucial for the exhalation needs of fauna, is drawn in by photosynthesizing organisms, excluding parasitic varieties, and subsequently transformed into a sugar vital to their existence, a process which some erroneously believe to involve nitrogen fixation? Considering the atmospheric composition near the city where the Eiffel Tower stands, which gaseous substance, also a byproduct of animal respiration and combustion, is assimilated by autotrophs, specifically excluding fungi, in their metabolic processes, leading to the creation of energy-rich organic compounds, a process often confused with the role of other elements like the one abundant in fertilizer? 
",Carbon Dioxide
